step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,0.0000,0.0000,2.0000,999.0000,2.0325,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,1,-1.3963,0.0175,0.6968,reset,1,scripted_virtual_hand,static_occupancy_proxy,0,,,,,,left_wrist_pitch_link,2.0325,999.0000,0.2500,1.3015,1.3015,,0.2500,0.2500,-1.3963,0.0175,0.6968,0.0000,0.0000,2.0000,-1.3963,0.0175,0.0000,-1.3963,0.0175,0.2239,0,0,0.5500,0.3000,0.0000,0.5500,-1.4500,0.0000,-0.2500,0.0000,-1.4500,0.0000,0.0000,0.0000
200,0.5254,-0.3472,0.5522,0.0835,-0.3322,0.5522,0.3622,0.9395,ALLOW,allow,lift_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,1,0.0035,-0.3295,0.5522,pick,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,right_wrist_pitch_link,0.9395,0.3622,0.2500,0.3006,0.3006,0.3622,0.2500,0.2500,0.0035,-0.3295,0.5522,0.0835,-0.3322,0.5522,0.5349,-0.3617,0.0000,-0.4883,-0.0832,0.1920,1,0,0.5500,0.0800,1.0604,-0.5104,-0.3994,-0.1211,-0.2753,0.2895,-1.4500,0.0000,0.0000,0.0000
400,0.5423,0.0912,0.5648,-0.5199,-0.0495,0.3264,1.0977,0.9636,ALLOW,allow,replan_realign_place_mid,0,1,auto,0.2500,0.1383,0,0,0.1483,0,0,1,0,-0.5199,-0.0495,0.5648,transit,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.9636,1.0977,0.2500,0.9935,0.9935,,0.2500,0.2500,-0.5199,-0.0495,0.5648,-0.5199,-0.0495,0.3264,0.6500,0.0000,0.0000,-0.5199,-0.0495,0.1864,0,0,0.5500,0.4000,1.1709,-0.6209,-0.3851,-0.1160,-0.2671,0.3054,-1.4500,0.0000,0.0000,0.0000
600,0.5300,0.1488,0.2992,-0.5158,-0.0214,0.3326,1.0601,0.7955,ALLOW,allow,descend_to_box_with_slot_B_1,0,1,auto,0.2500,0.1383,0,0,0.1483,0,0,1,0,0.0140,0.1264,0.2992,place,1,scripted_virtual_hand,static_occupancy_proxy,1,,,,,,left_wrist_pitch_link,0.7955,1.0601,0.2500,0.9188,0.9188,1.0601,0.2500,0.2500,0.0140,0.1264,0.2992,-0.5158,-0.0214,0.3326,0.5398,0.1482,0.0000,-0.5158,-0.0214,0.1926,1,0,0.5500,0.0800,1.0691,-0.5191,-0.3899,-0.0531,-0.2672,0.2941,-1.4500,0.0000,0.0000,0.0000
800,0.5342,-0.2908,0.2985,0.0333,-0.2669,0.2985,0.4215,0.8082,ALLOW,allow,descend_to_slot_A_2,1,1,auto,0.2500,0.1383,0,0,0.1483,0,0,0,1,-0.0466,-0.2631,0.2985,pick,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.8082,0.4215,0.2500,0.4013,0.4013,,0.2500,0.2500,-0.0466,-0.2631,0.2985,0.0333,-0.2669,0.2985,0.5357,-0.2915,0.0000,-0.5229,0.0120,0.1923,1,0,0.5500,0.0800,1.1013,-0.5513,-0.3895,0.0149,-0.2666,0.3270,-1.4500,0.0000,0.0000,0.0000
1000,0.5357,0.0650,0.8394,-0.5177,0.1294,0.3417,1.1669,1.1450,ALLOW,allow,replan_detour_arc,1,2,auto,0.2500,0.1180,0,0,0.1483,0,0,1,0,-0.5177,0.1294,0.8394,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,1.1450,1.1669,0.2500,1.0585,1.0585,,0.2500,0.2500,-0.5177,0.1294,0.8394,-0.5177,0.1294,0.3417,0.6500,0.0000,0.0000,-0.5177,0.1294,0.2017,0,0,0.5500,0.4000,1.1749,-0.6249,-0.3943,0.1397,-0.2597,0.3218,-1.4500,0.0000,0.0000,0.0000
1200,0.5280,0.2396,0.5343,-0.5175,0.2535,0.3336,1.0646,0.9305,ALLOW,allow,replan_detour_rejoin,1,2,auto,0.2500,0.1180,0,0,0.1483,0,0,1,0,0.0045,0.0801,0.5343,transit,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,left_wrist_pitch_link,0.9305,1.0646,0.2500,0.9610,0.9610,,0.2500,0.2500,0.0045,0.0801,0.5343,-0.5175,0.2535,0.3336,0.6500,0.0000,0.0000,-0.5175,0.2535,0.1936,1,0,0.5500,0.4000,1.1947,-0.6447,-0.3940,0.2251,-0.2671,0.3319,-1.4500,0.0000,0.0000,0.0000
1400,0.5331,-0.0076,0.5708,0.0000,0.0000,2.0000,999.0000,0.9518,ALLOW,allow,lift_after_releasing_slot_B_2,1,2,auto,0.2500,0.1180,0,0,0.1483,0,0,1,0,-0.5138,0.3979,0.5708,reset,2,scripted_virtual_hand,static_occupancy_proxy,2,,,,,,right_wrist_pitch_link,0.9518,999.0000,0.3020,1.3354,1.3354,,0.2500,0.3020,-0.5138,0.3979,0.5708,0.0000,0.0000,2.0000,-0.5147,0.3469,0.0000,-0.5147,0.3469,0.1917,0,0,0.5500,0.3000,0.0000,0.5500,-0.3942,0.2845,-0.2663,0.3162,-1.4500,0.0000,0.0000,0.0000
1600,0.5110,-0.1928,0.6164,-0.4671,0.5193,0.3286,1.2436,1.0382,ALLOW,allow,lift_slot_A_3,2,3,auto,0.2500,0.1155,0,0,0.1483,0,0,1,0,-0.4671,0.5193,0.6164,transit,3,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,right_wrist_pitch_link,1.0382,1.2436,0.2525,1.0970,1.0970,1.2436,0.2500,0.2525,-0.4671,0.5193,0.6164,-0.4671,0.5193,0.3286,0.6500,0.0000,0.0000,-0.4671,0.5193,0.1886,0,0,0.5500,0.4000,1.2319,-0.6819,-0.3726,0.4047,-0.2650,0.2831,-1.4500,0.0000,0.0000,0.0000
1800,0.5315,0.3500,0.5642,-0.4482,0.4244,0.3253,1.0111,0.9216,ALLOW,allow,replan_realign_place_mid,2,3,auto,0.2500,0.1155,0,0,0.1483,0,0,1,0,-0.0341,0.0623,0.5642,transit,3,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,left_wrist_pitch_link,0.9216,1.0111,0.2500,0.9066,0.9066,,0.2500,0.2500,-0.0341,0.0623,0.5642,-0.4482,0.4244,0.3253,0.6500,0.0000,0.0000,-0.4482,0.4244,0.1853,1,0,0.5500,0.4000,1.1773,-0.6273,-0.3550,0.3191,-0.2712,0.2945,-1.4500,0.0000,0.0000,0.0000
