step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
0,0.6914,0.1742,0.6968,-1.3056,-0.1200,-0.1548,2.0608,2.0608,ALLOW,allow,start,0,0,,0.0000,0.0000,0,0,0.1694,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,2.0608,inf,0.1000,2.0608,2.0608,,0.0650,0.1000,0.0000,0.0000,0.0000,-1.3056,-0.1200,-0.1548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-1.4709,0.0158,-0.2500,0.0000,,,,
200,0.5254,-0.3471,0.5522,-0.2855,-0.1759,-0.1401,0.9499,0.9499,ALLOW,allow,lift_slot_A_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9499,inf,0.1000,0.9251,0.9251,0.9499,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2855,-0.1759,-0.1401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.4050,-0.0305,-0.2684,0.2502,,,,
400,0.5292,0.1450,0.3000,-0.2849,0.1454,-0.1332,0.7922,0.7922,ALLOW,allow,lift_after_releasing_slot_B_1,0,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7922,inf,0.3004,0.7922,0.7922,,0.0650,0.3004,0.0000,0.0000,0.0000,-0.2849,0.1454,-0.1332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3907,-0.0078,-0.2584,0.2846,,,,
600,0.5246,-0.2778,0.5468,-0.2847,-0.1328,-0.1266,0.9328,0.9328,ALLOW,allow,grasp_slot_A_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9328,inf,0.1000,0.9082,0.9082,0.9328,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2847,-0.1328,-0.1266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3915,0.0035,-0.2709,0.2991,,,,
800,0.5291,0.2150,0.3000,-0.2917,0.2034,-0.1073,0.7864,0.7864,ALLOW,allow,open_gripper_to_release_slot_B_2,1,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7864,inf,0.3003,0.7864,0.7864,,0.0650,0.3003,0.0000,0.0000,0.0000,-0.2917,0.2034,-0.1073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3883,0.0611,-0.2609,0.3258,,,,
1000,0.5241,-0.2072,0.5364,-0.2858,0.0076,-0.1324,0.9421,0.9421,ALLOW,allow,grasp_slot_A_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9421,inf,0.1000,0.9177,0.9177,0.9421,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2858,0.0076,-0.1324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3910,0.1630,-0.2628,0.3301,,,,
1200,0.5291,0.2850,0.3004,-0.2846,0.3510,-0.1255,0.7908,0.7908,ALLOW,allow,open_gripper_to_release_slot_B_3,2,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.7908,inf,0.3000,0.7908,0.7908,,0.0650,0.3000,0.0000,0.0000,0.0000,-0.2846,0.3510,-0.1255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3910,0.2054,-0.2650,0.3208,,,,
1400,0.5234,-0.1375,0.5310,-0.2975,-0.2826,-0.1144,0.9242,0.9242,ALLOW,allow,grasp_slot_A_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9242,inf,0.1000,0.9000,0.9000,0.9242,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2975,-0.2826,-0.1144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3994,-0.1515,-0.2690,0.3352,,,,
1600,0.5292,0.3550,0.3000,-0.2845,0.0667,-0.1367,0.8374,0.8374,ALLOW,allow,open_gripper_to_release_slot_B_4,3,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8374,inf,0.3003,0.8374,0.8374,,0.0650,0.3003,0.0000,0.0000,0.0000,-0.2845,0.0667,-0.1367,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3864,-0.0867,-0.2645,0.3037,,,,
1800,0.6360,-0.3483,0.5184,-0.2846,-0.1787,-0.1165,1.0011,1.0011,ALLOW,allow,grasp_slot_A_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0011,inf,0.1000,0.9779,0.9779,1.0011,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2846,-0.1787,-0.1165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3886,-0.0441,-0.2672,0.3029,,,,
