step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
2000,0.5289,0.2883,0.2988,-0.4165,-0.4265,0.3338,1.1857,0.8974,ALLOW,allow,open_gripper_to_release_slot_B_3,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.0276,-0.0376,0.2988,place,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,left_wrist_pitch_link,0.8974,1.1857,0.2500,1.0848,1.0848,,0.2500,0.2500,-0.0276,-0.0376,0.2988,-0.4165,-0.4265,0.3338,0.5383,0.2906,0.0000,-0.4165,-0.4265,0.1938,1,0,0.5500,0.0800,1.1941,-0.6441,-0.3402,-0.3443,-0.2707,0.2778,-1.4500,0.0000,0.0000,0.0000
2200,0.5292,-0.1450,0.3002,0.0960,-0.2559,0.3002,0.3672,0.8373,ALLOW,allow,descend_to_slot_A_4,3,3,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,0.0185,-0.2758,0.3002,pick,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,left_wrist_pitch_link,0.8373,0.3672,0.2500,0.3473,0.3473,,0.2500,0.2500,0.0185,-0.2758,0.3002,0.0960,-0.2559,0.3002,0.5374,-0.1504,0.0000,-0.4465,-0.5695,0.1678,1,0,0.5500,0.0800,1.0694,-0.5194,-0.4005,-0.4287,-0.2863,0.2621,-1.4500,0.0000,0.0000,0.0000
2400,0.6032,0.1784,0.6937,-0.4580,-0.3667,0.3373,1.2451,1.1259,ALLOW,allow,replan_detour_arc,3,4,auto,0.2500,0.1318,0,0,0.1483,0,0,1,0,-0.4580,-0.3667,0.6937,transit,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,left_wrist_pitch_link,1.1259,1.2451,0.2500,1.1395,1.1395,,0.2500,0.2500,-0.4580,-0.3667,0.6937,-0.4580,-0.3667,0.3373,0.6500,0.0000,0.0000,-0.4580,-0.3667,0.1973,0,0,0.5500,0.4000,1.1671,-0.6171,-0.3693,-0.3158,-0.2695,0.2505,-1.4500,0.0000,0.0000,0.0000
2600,0.5301,0.3594,0.2982,-0.3925,-0.4264,0.3368,1.2124,0.9688,ALLOW,allow,descend_to_box_with_slot_B_4,3,4,auto,0.2500,0.1318,0,0,0.1483,0,0,1,0,-0.0036,-0.0375,0.2982,place,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,left_wrist_pitch_link,0.9688,1.2124,0.2500,1.0712,1.0712,1.2124,0.2500,0.2500,-0.0036,-0.0375,0.2982,-0.3925,-0.4264,0.3368,0.5372,0.3611,0.0000,-0.3925,-0.4264,0.1968,1,0,0.5500,0.0800,1.2184,-0.6684,-0.3079,-0.4275,-0.2732,0.2394,-1.4500,0.0000,0.0000,0.0000
2800,0.6448,-0.3589,0.2907,0.1908,-0.2930,0.2907,0.3787,0.7847,ALLOW,allow,descend_to_slot_A_5,4,4,auto,0.2500,0.1318,0,0,0.1483,0,0,0,1,0.1116,-0.2815,0.2907,pick,5,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,right_wrist_pitch_link,0.7847,0.3787,0.2500,0.3582,0.3582,,0.2500,0.2500,0.1116,-0.2815,0.2907,0.1908,-0.2930,0.2907,0.6455,-0.3604,0.0000,-0.4199,-0.4230,0.1912,1,0,0.5500,0.0800,1.0672,-0.5172,-0.3170,-0.4190,-0.2752,0.2638,-1.4500,0.0000,0.0000,0.0000
3000,0.6520,0.1459,0.2963,0.0466,-0.0256,0.2963,0.5492,0.9715,ALLOW,allow,descend_to_box_with_slot_B_5,4,4,auto,0.2500,0.1318,0,0,0.1483,0,0,0,1,-0.0304,-0.0474,0.2963,place,5,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,left_wrist_pitch_link,0.9715,0.5492,0.3020,0.4875,0.4875,0.5492,0.2500,0.3020,-0.0304,-0.0474,0.2963,0.0466,-0.0256,0.2963,0.6489,0.1472,0.0000,-0.4201,-0.4355,0.1979,1,0,0.5500,0.0800,1.2175,-0.6675,-0.3084,-0.4348,-0.2664,0.2722,-1.4500,0.0000,0.0000,0.0000
3200,0.6459,-0.2899,0.3350,0.0000,0.0000,2.0000,999.0000,0.8365,ALLOW,allow,move_above_slot_A_6,5,4,auto,0.2500,0.1318,0,0,0.1483,0,0,0,1,-0.4357,-0.3529,0.3350,reset,6,scripted_virtual_hand,static_occupancy_proxy,6,,,,,,right_wrist_pitch_link,0.8365,999.0000,0.2500,1.6190,1.6190,,0.2500,0.2500,-0.4357,-0.3529,0.3350,0.0000,0.0000,2.0000,-0.4363,-0.4307,0.0000,-0.4363,-0.4307,0.1898,0,0,0.5500,0.3000,0.0000,0.5500,-0.3221,-0.4339,-0.2735,0.3110,-1.4500,0.0000,0.0000,0.0000
3400,0.6482,0.2193,0.3633,0.3379,0.0587,0.3633,0.2695,1.0252,ALLOW,allow,move_above_box_with_slot_B_6,5,4,auto,0.2500,0.1318,0,0,0.1483,0,0,0,1,-0.0174,-0.1252,0.3633,transit,6,scripted_virtual_hand,static_occupancy_proxy,7,,,,,,left_wrist_pitch_link,1.0252,0.2695,0.2500,0.2080,0.2080,0.2695,0.2500,0.2500,-0.0174,-0.1252,0.3633,0.3379,0.0587,0.3633,0.6500,0.0000,0.0000,-0.4073,-0.5131,0.1929,1,0,0.5500,0.4000,1.1752,-0.6252,-0.3104,-0.4368,-0.2687,0.3099,-1.4500,0.0000,0.0000,0.0000
3600,0.6467,-0.2198,0.4155,0.0000,0.0000,2.0000,999.0000,0.8905,ALLOW,allow,move_above_slot_A_7,6,4,auto,0.2500,0.1318,0,0,0.1483,0,0,0,1,-0.4166,-0.4138,0.4155,reset,7,scripted_virtual_hand,static_occupancy_proxy,7,,,,,,right_wrist_pitch_link,0.8905,999.0000,0.2500,1.5354,1.5354,,0.2500,0.2500,-0.4166,-0.4138,0.4155,0.0000,0.0000,2.0000,-0.4173,-0.4916,0.0000,-0.4173,-0.4916,0.1927,0,0,0.5500,0.3000,0.0000,0.5500,-0.3149,-0.4260,-0.2694,0.3009,-1.4500,0.0000,0.0000,0.0000
3800,0.6501,0.2894,0.4291,0.3236,0.1196,0.4291,0.2880,1.0811,ALLOW,allow,move_above_box_with_slot_B_7,6,4,auto,0.2500,0.1318,0,0,0.1485,0,0,0,1,-0.0313,-0.0649,0.4291,transit,7,scripted_virtual_hand,static_occupancy_proxy,8,,,,,,left_wrist_pitch_link,1.0811,0.2880,0.2500,0.2265,0.2265,0.2880,0.2500,0.2500,-0.0313,-0.0649,0.4291,0.3236,0.1196,0.4291,0.6500,0.0000,0.0000,-0.4256,-0.4484,0.1917,1,0,0.5500,0.4000,1.1653,-0.6153,-0.3158,-0.4167,-0.2723,0.2907,-1.4500,0.0000,0.0000,0.0000
