sim_step,event_type,attempt_id,event_id,trigger_rule,trigger_source,applied_step,protocol_phase,stage_name,dist_m,warn_threshold,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,slow_streak_length,ee_x,ee_y,ee_z,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin
201,trigger,1,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0286,0.2500,0.2500,,0.5255,-0.3469,0.5577,0.0288,-0.2371,0.5577,0.4194,-0.3235,0.5577,0.6500,0.0000,0.0000,-0.4926,-0.1308,0.1835,1,0.5500,0.4000,1.1501,-0.6001
201,applied,1,1,held_critical,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0286,0.2500,0.2500,,0.5255,-0.3469,0.5577,0.0288,-0.2371,0.5577,0.4194,-0.3235,0.5577,0.6500,0.0000,0.0000,-0.4926,-0.1308,0.1835,1,0.5500,0.4000,1.1501,-0.6001
201,retreat,1,1,replan,scripted_virtual_hand,201,transit,lift_slot_A_1,0.0000,0.2500,0.0000,0.0000,0.0286,0.2500,0.2500,,0.5255,-0.3469,0.5577,0.0288,-0.2371,0.5577,0.4194,-0.3235,0.5577,0.6500,0.0000,0.0000,-0.4926,-0.1308,0.1835,1,0.5500,0.4000,1.1501,-0.6001
786,redeploy,1,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_2,1.5890,0.2500,1.5890,1.5890,,0.2500,0.2500,,0.5357,-0.2915,0.3072,-0.4914,-0.4280,0.3126,-0.2305,-0.5021,-0.1596,0.5357,-0.2915,0.0000,-0.4921,-0.4286,0.1820,0,0.5500,0.0800,1.0369,-0.4869
887,trigger,2,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0056,0.2500,0.2500,,0.5248,-0.2772,0.5577,0.0446,-0.2052,0.5577,0.4402,-0.2645,0.5577,0.6500,0.0000,0.0000,-0.4749,-0.3857,0.1841,1,0.5500,0.4000,1.1892,-0.6392
887,applied,2,2,held_critical,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0056,0.2500,0.2500,,0.5248,-0.2772,0.5577,0.0446,-0.2052,0.5577,0.4402,-0.2645,0.5577,0.6500,0.0000,0.0000,-0.4749,-0.3857,0.1841,1,0.5500,0.4000,1.1892,-0.6392
887,retreat,2,2,replan,scripted_virtual_hand,887,transit,lift_slot_A_2,0.0000,0.2500,0.0000,0.0000,0.0056,0.2500,0.2500,,0.5248,-0.2772,0.5577,0.0446,-0.2052,0.5577,0.4402,-0.2645,0.5577,0.6500,0.0000,0.0000,-0.4749,-0.3857,0.1841,1,0.5500,0.4000,1.1892,-0.6392
1472,redeploy,2,,protocol,scripted_virtual_hand,,pick,descend_to_slot_A_3,1.5667,0.2500,1.5667,1.5667,,0.2500,0.2500,,0.5366,-0.2211,0.3070,-0.3790,-0.3855,0.3124,-0.1415,-0.5105,-0.1412,0.5366,-0.2211,0.0000,-0.3796,-0.4372,0.2128,0,0.5500,0.0800,0.9413,-0.3913
1573,trigger,3,,held_critical,scripted_virtual_hand,,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5243,-0.2071,0.5578,0.0594,-0.1534,0.5578,0.4568,-0.1993,0.5578,0.6500,0.0000,0.0000,-0.4167,-0.4288,0.2053,1,0.5500,0.4000,1.1496,-0.5996
1573,applied,3,3,held_critical,scripted_virtual_hand,1573,transit,lift_slot_A_3,0.0000,0.2500,0.0000,0.0000,0.0000,0.2500,0.2500,,0.5243,-0.2071,0.5578,0.0594,-0.1534,0.5578,0.4568,-0.1993,0.5578,0.6500,0.0000,0.0000,-0.4167,-0.4288,0.2053,1,0.5500,0.4000,1.1496,-0.5996
