step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
2000,0.6396,0.1450,0.3000,-0.2862,0.1817,-0.1174,0.8862,0.8862,ALLOW,allow,open_gripper_to_release_slot_B_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8862,inf,0.3002,0.8862,0.8862,,0.0650,0.3002,0.0000,0.0000,0.0000,-0.2862,0.1817,-0.1174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3856,0.0395,-0.2627,0.3309,,,,
2200,0.6341,-0.2771,0.4598,-0.2848,-0.1576,-0.1344,0.9708,0.9708,ALLOW,allow,grasp_slot_A_6,5,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9708,inf,0.1000,0.9480,0.9480,0.9708,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2848,-0.1576,-0.1344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3892,-0.0015,-0.2579,0.2988,,,,
2400,0.6397,0.2151,0.3000,-0.2846,0.0892,-0.1094,0.8887,0.8887,ALLOW,allow,open_gripper_to_release_slot_B_6,5,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8887,inf,0.1000,0.8887,0.8887,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2846,0.0892,-0.1094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3915,-0.0455,-0.2593,0.2913,,,,
2600,0.6332,-0.2072,0.4548,-0.2852,-0.2534,-0.1336,0.9617,0.9617,ALLOW,allow,grasp_slot_A_7,6,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9617,inf,0.1000,0.9389,0.9389,0.9617,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2852,-0.2534,-0.1336,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3904,-0.0973,-0.2653,0.3080,,,,
2800,0.6396,0.2851,0.3000,-0.2844,-0.0122,-0.1267,0.9303,0.9303,ALLOW,allow,open_gripper_to_release_slot_B_7,6,0,,0.0000,0.0000,0,0,0.1484,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9303,inf,0.1000,0.9303,0.9303,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2844,-0.0122,-0.1267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3888,-0.1595,-0.2621,0.3170,,,,
3000,0.6322,-0.1373,0.4498,-0.2844,0.0075,-0.1242,0.9612,0.9612,ALLOW,allow,grasp_slot_A_8,7,0,,0.0000,0.0000,0,0,0.1484,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9612,inf,0.1000,0.9388,0.9388,0.9612,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2844,0.0075,-0.1242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3866,-0.1218,-0.2703,0.3291,,,,
3200,0.6396,0.3551,0.2999,-0.2872,0.0486,-0.1284,0.9360,0.9360,ALLOW,allow,open_gripper_to_release_slot_B_8,7,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9360,inf,0.1000,0.9360,0.9360,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2872,0.0486,-0.1284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3867,-0.1010,-0.2682,0.3430,,,,
3400,0.7451,-0.3468,0.4456,-0.2849,-0.3466,-0.1325,1.0512,1.0512,ALLOW,allow,grasp_slot_A_9,8,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0512,inf,0.1000,1.0295,1.0295,1.0512,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2849,-0.3466,-0.1325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3922,-0.1950,-0.2604,0.3038,,,,
3600,0.7500,0.1451,0.2998,-0.2845,0.2276,-0.1058,0.9843,0.9843,ALLOW,allow,open_gripper_to_release_slot_B_9,8,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9843,inf,0.1000,0.9843,0.9843,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,0.2276,-0.1058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3901,0.0959,-0.2632,0.3116,,,,
3800,0.7445,-0.2770,0.4358,-0.2847,-0.0232,-0.1339,1.0735,1.0735,ALLOW,allow,grasp_slot_A_10,9,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0735,inf,0.1000,1.0521,1.0521,1.0735,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2847,-0.0232,-0.1339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3902,0.1374,-0.2614,0.3036,,,,
