step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
2000,0.6396,0.1450,0.3001,-0.2849,0.0243,-0.1286,0.8962,0.8962,ALLOW,allow,open_gripper_to_release_slot_B_5,4,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.8962,inf,0.3007,0.8962,0.8962,,0.0650,0.3007,0.0000,0.0000,0.0000,-0.2849,0.0243,-0.1286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3906,0.1639,-0.2687,0.3049,,,,
2200,0.6347,-0.2779,0.4752,-0.2851,-0.3546,-0.1348,0.9763,0.9763,ALLOW,allow,grasp_slot_A_6,5,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9763,inf,0.1000,0.9533,0.9533,0.9763,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2851,-0.3546,-0.1348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3913,-0.2055,-0.2668,0.3271,,,,
2400,0.6396,0.2150,0.3000,-0.2947,0.2243,-0.1133,0.8917,0.8917,ALLOW,allow,open_gripper_to_release_slot_B_6,5,0,,0.0000,0.0000,0,0,0.1483,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8917,inf,0.3001,0.8917,0.8917,,0.0650,0.3001,0.0000,0.0000,0.0000,-0.2947,0.2243,-0.1133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3927,0.0788,-0.2662,0.3432,,,,
2600,0.6334,-0.2074,0.4598,-0.2855,-0.0782,-0.1257,0.9673,0.9673,ALLOW,allow,grasp_slot_A_7,6,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9673,inf,0.1000,0.9447,0.9447,0.9673,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2855,-0.0782,-0.1257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3875,0.0689,-0.2684,0.3242,,,,
2800,0.6396,0.2851,0.2999,-0.2842,0.3465,-0.1400,0.8951,0.8951,ALLOW,allow,open_gripper_to_release_slot_B_7,6,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.8951,inf,0.1000,0.8951,0.8951,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2842,0.3465,-0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3858,0.1913,-0.2649,0.3116,,,,
3000,0.6330,-0.1378,0.4424,-0.2841,-0.3058,-0.0919,0.9445,0.9445,ALLOW,allow,grasp_slot_A_8,7,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,0.9445,inf,0.1000,0.9227,0.9227,0.9445,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2841,-0.3058,-0.0919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3854,-0.1856,-0.2650,0.3236,,,,
3200,0.6396,0.3551,0.2999,-0.2856,0.0811,-0.1339,0.9279,0.9279,ALLOW,allow,open_gripper_to_release_slot_B_8,7,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9279,inf,0.1000,0.9279,0.9279,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2856,0.0811,-0.1339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3926,-0.0740,-0.2649,0.2893,,,,
3400,0.7451,-0.3471,0.4407,-0.2845,-0.1616,-0.1237,1.0587,1.0587,ALLOW,allow,grasp_slot_A_9,8,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0587,inf,0.1000,1.0373,1.0373,1.0587,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2845,-0.1616,-0.1237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3876,-0.0215,-0.2679,0.3188,,,,
3600,0.7500,0.1451,0.2999,-0.2848,0.1380,-0.1041,0.9809,0.9809,ALLOW,allow,open_gripper_to_release_slot_B_9,8,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,left_wrist_pitch_link,0.9809,inf,0.1000,0.9809,0.9809,,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2848,0.1380,-0.1041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3889,0.0057,-0.2591,0.3102,,,,
3800,0.7445,-0.2769,0.4358,-0.2849,-0.1031,-0.1305,1.0577,1.0577,ALLOW,allow,grasp_slot_A_10,9,0,,0.0000,0.0000,0,0,0.1485,0,0,0,0,0.0000,0.0000,0.0000,none,0,g1_body,baseline_safe,0,,,,,,right_wrist_pitch_link,1.0577,inf,0.1000,1.0362,1.0362,1.0577,0.0650,0.1000,0.0000,0.0000,0.0000,-0.2849,-0.1031,-0.1305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,-0.3912,0.0485,-0.2658,0.3166,,,,
