step,ee_x,ee_y,ee_z,hand_x,hand_y,hand_z,hand_dist_surface,g1_body_dist,gate,gate_trigger,stage,parts_placed,replan_count,replan_strategy,replan_raise_m,replan_lateral_m,grasp_rewinds,carry_aborted,min_part_z,parts_below_table,deadlock_tier,vhand_retreated,vhand_block_active,sphere_x,sphere_y,sphere_z,protocol_phase,protocol_part,disturbance_source,disturbance_scenario,disturbance_attempt_id,gate_trigger_source,replan_trigger_source,replan_trigger_step,replan_event_id,replan_applied_step,closest_g1_body,dist_min_g1_body,dist_min_proxy,warn_threshold_active,dist_min_for_gating,dist_min_envelope,dist_min_held,safe_dist_hard_stop_active,safe_dist_warn_active,proxy_center_x,proxy_center_y,proxy_center_z,proxy_surface_x,proxy_surface_y,proxy_surface_z,attractor_x,attractor_y,attractor_z,g1_head_x,g1_head_y,g1_head_z,reach_clamped,slow_streak_length,reach_radius_active,proxy_radius_active,head_to_attractor_distance,reach_margin,g1_root_x,g1_root_y,g1_root_z,g1_tilt_rad,g1_spawn_requested_x,g1_spawn_requested_y,g1_spawn_requested_yaw,spawn_pose_error
2000,0.5289,0.2885,0.2986,-0.3809,-0.5111,0.3378,1.2118,0.9488,ALLOW,allow,open_gripper_to_release_slot_B_3,2,3,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,0.0080,-0.1222,0.2986,place,3,scripted_virtual_hand,static_occupancy_proxy,3,,,,,,left_wrist_pitch_link,0.9488,1.2118,0.2500,1.1107,1.1107,,0.2500,0.2500,0.0080,-0.1222,0.2986,-0.3809,-0.5111,0.3378,0.5388,0.2904,0.0000,-0.3809,-0.5111,0.1978,1,0,0.5500,0.0800,1.2199,-0.6699,-0.2911,-0.4634,-0.2688,0.2944,-1.4500,0.0000,0.0000,0.0000
2200,0.5292,-0.1450,0.3002,0.1546,-0.2330,0.3002,0.3048,0.7590,ALLOW,allow,descend_to_slot_A_4,3,3,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,0.0767,-0.2513,0.3002,pick,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,right_wrist_pitch_link,0.7590,0.3048,0.2500,0.2850,0.2850,,0.2500,0.2500,0.0767,-0.2513,0.3002,0.1546,-0.2330,0.3002,0.5374,-0.1504,0.0000,-0.4048,-0.5172,0.1914,1,0,0.5500,0.0800,1.0110,-0.4610,-0.3050,-0.4376,-0.2691,0.3048,-1.4500,0.0000,0.0000,0.0000
2400,0.6051,0.1787,0.6937,-0.4086,-0.4902,0.3331,1.2669,1.1519,ALLOW,allow,replan_detour_arc,3,4,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.4086,-0.4902,0.6937,transit,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,left_wrist_pitch_link,1.1519,1.2669,0.2500,1.1613,1.1613,,0.2500,0.2500,-0.4086,-0.4902,0.6937,-0.4086,-0.4902,0.3331,0.6500,0.0000,0.0000,-0.4086,-0.4902,0.1931,0,0,0.5500,0.4000,1.1666,-0.6166,-0.3059,-0.4303,-0.2697,0.2959,-1.4500,0.0000,0.0000,0.0000
2600,0.5299,0.3594,0.2975,-0.4177,-0.4514,0.3330,1.2476,0.9693,ALLOW,allow,descend_to_box_with_slot_B_4,3,4,auto,0.2500,0.1563,0,0,0.1483,0,0,1,0,-0.0288,-0.0624,0.2975,place,4,scripted_virtual_hand,static_occupancy_proxy,4,,,,,,left_wrist_pitch_link,0.9693,1.2476,0.2500,1.1063,1.1063,1.2476,0.2500,0.2500,-0.0288,-0.0624,0.2975,-0.4177,-0.4514,0.3330,0.5378,0.3605,0.0000,-0.4177,-0.4514,0.1930,1,0,0.5500,0.0800,1.2538,-0.7038,-0.3057,-0.4270,-0.2709,0.2828,-1.4500,0.0000,0.0000,0.0000
2800,0.6448,-0.3589,0.2907,0.1631,-0.2858,0.2907,0.4072,0.7932,ALLOW,allow,descend_to_slot_A_5,4,4,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,0.0840,-0.2737,0.2907,pick,5,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,right_wrist_pitch_link,0.7932,0.4072,0.2500,0.3866,0.3866,,0.2500,0.2500,0.0840,-0.2737,0.2907,0.1631,-0.2858,0.2907,0.6455,-0.3604,0.0000,-0.4509,-0.4018,0.1872,1,0,0.5500,0.0800,1.0971,-0.5471,-0.3195,-0.4166,-0.2718,0.3003,-1.4500,0.0000,0.0000,0.0000
3000,0.6517,0.1471,0.2969,0.0131,0.0154,0.2969,0.5721,0.9723,ALLOW,allow,descend_to_box_with_slot_B_5,4,4,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,-0.0653,-0.0007,0.2969,place,5,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,left_wrist_pitch_link,0.9723,0.5721,0.3297,0.5104,0.5104,0.5721,0.2500,0.3297,-0.0653,-0.0007,0.2969,0.0131,0.0154,0.2969,0.6489,0.1483,0.0000,-0.4554,-0.3884,0.1883,1,0,0.5500,0.0800,1.2278,-0.6778,-0.3290,-0.4142,-0.2716,0.2885,-1.4500,0.0000,0.0000,0.0000
3200,0.6460,-0.2899,0.3296,0.0000,0.0000,2.0000,999.0000,0.8829,ALLOW,allow,move_above_slot_A_6,5,4,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,-0.4595,-0.2819,0.3296,reset,6,scripted_virtual_hand,static_occupancy_proxy,5,,,,,,right_wrist_pitch_link,0.8829,999.0000,0.2500,1.6240,1.6240,,0.2500,0.2500,-0.4595,-0.2819,0.3296,0.0000,0.0000,2.0000,-0.4601,-0.3597,0.0000,-0.4601,-0.3597,0.1951,0,0,0.5500,0.3000,0.0000,0.5500,-0.3664,-0.3038,-0.2700,0.2782,-1.4500,0.0000,0.0000,0.0000
3400,0.6482,0.2193,0.3633,0.3132,0.0559,0.3633,0.2928,1.0155,ALLOW,allow,move_above_box_with_slot_B_6,5,4,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,-0.0464,-0.1194,0.3633,transit,6,scripted_virtual_hand,static_occupancy_proxy,6,,,,,,left_wrist_pitch_link,1.0155,0.2928,0.2500,0.2312,0.2312,0.2928,0.2500,0.2500,-0.0464,-0.1194,0.3633,0.3132,0.0559,0.3633,0.6500,0.0000,0.0000,-0.4367,-0.5069,0.1979,1,0,0.5500,0.4000,1.1991,-0.6491,-0.3660,-0.3970,-0.2615,0.2759,-1.4500,0.0000,0.0000,0.0000
3600,0.6467,-0.2198,0.4155,0.0000,0.0000,2.0000,999.0000,0.9482,ALLOW,allow,move_above_slot_A_7,6,4,auto,0.2500,0.1563,0,0,0.1483,0,0,0,1,-0.4663,-0.2722,0.4155,reset,7,scripted_virtual_hand,static_occupancy_proxy,7,,,,,,right_wrist_pitch_link,0.9482,999.0000,0.2500,1.5354,1.5354,,0.2500,0.2500,-0.4663,-0.2722,0.4155,0.0000,0.0000,2.0000,-0.4669,-0.3500,0.0000,-0.4669,-0.3500,0.1995,0,0,0.5500,0.3000,0.0000,0.5500,-0.3710,-0.3123,-0.2670,0.2734,-1.4500,0.0000,0.0000,0.0000
3800,0.6496,0.2894,0.4394,0.3331,0.1455,0.4394,0.2677,1.0543,ALLOW,allow,move_above_box_with_slot_B_7,6,4,auto,0.2500,0.1563,0,0,0.1485,0,0,0,1,-0.0310,-0.0201,0.4394,transit,7,scripted_virtual_hand,static_occupancy_proxy,8,,,,,,left_wrist_pitch_link,1.0543,0.2677,0.2500,0.2062,0.2062,0.2677,0.2500,0.2500,-0.0310,-0.0201,0.4394,0.3331,0.1455,0.4394,0.6500,0.0000,0.0000,-0.4559,-0.3694,0.1906,1,0,0.5500,0.4000,1.1659,-0.6159,-0.3492,-0.3258,-0.2731,0.3010,-1.4500,0.0000,0.0000,0.0000
